neighborhood,normalized_crime
Abell,-0.15208433679307562
Allendale,-0.07336910420284318
Arcadia,-0.2763599825817166
Boyd-Booth,-0.10768281888522296
Arlington,0.32429405775935477
Armistead Gardens,-0.2056170970972727
Ashburton,-0.0896202515923397
Baltimore Highlands,-0.0834804856712307
Patterson Park Neighborhood,-0.19943168959487417
Barclay,0.2112029440449706
Barre Circle,-0.2858527476304597
Beechfield,-0.24230125589517357
Belair-Parkside,-0.2123779063860265
Bellona-Gittings,-0.33730492673155427
Berea,-0.1245203414517412
Better Waverly,-0.09548902618959072
Brewers Hill,-0.16372288552553774
Beverly Hills,-0.2778941885640808
Biddle Street,-0.1405481941016477
Blythewood,-0.3326435499209597
Bolton Hill,-0.2985582581711319
Bridgeview/Greenlawn,0.49471819624757196
Broadway East,-0.00034230248310751233
Broening Manor,-0.1739582752041283
Burleith-Leighton,-0.024941136639286703
Brooklyn,-0.1298406900292623
Butcher's Hill,-0.2831686100005623
Callaway-Garrison,-0.056967755016267836
Cameron Village,-0.2658855696950672
Canton,-0.22619877924911874
Dolfield,-0.21205780558563303
Carroll-South Hilton,-0.18872531912941512
Carrollton Ridge,0.1569921952462399
Cedarcroft,-0.20288501248385105
Dorchester,-0.16112337871064614
Cedmont,-0.11664423507737588
Cedonia,-0.24882365523098374
Central Forest Park,-0.12199194056918114
Coldspring,-0.24440137659302824
Central Park Heights,-0.05714658358230501
Charles North,0.23864492296051001
Forest Park Golf Course,-0.2691825346105441
Frankford,-0.13649685690211533
Cherry Hill,-0.12272351602381569
Fallstaff,-0.2603142892746752
Cheswolde,-0.3199442843224272
Chinquapin Park,-0.2899331184103753
Dickeyville,-0.2318090996814786
Orchard Ridge,0.15034119347468416
Coldstream Homestead Montebello,-0.15933007961917173
Concerned Citizens Of Forest Park,-0.2416353201677143
Coppin Heights/Ash-Co-East,-0.032517334224177456
Little Italy,0.14937225256911582
Cross Country,-0.3324075995643157
Cross Keys,-0.22903267648851355
Cylburn,-0.24190614632815144
Curtis Bay,-0.024010552957898147
Darley Park,0.21687068075632995
Loch Raven,-0.28189304665264636
Downtown,1.1521093289678526
Druid Heights,-0.06687399813498299
Federal Hill,-0.1417906137905553
Fells Point,-0.06217347652097322
Dunbar-Broadway,1.1318981674009052
East Arlington,-0.25709654493344664
East Baltimore Midway,-0.05667619267269459
